id,extroversion,neurotic,agreeable,conscientious,open,TimeSpent
129623,1.4,2.8,3.0,2.4,3.4,1.65
550967,1.6,2.8,2.4,2.8,3.4,0.89
683636,2.4,3.2,2.4,3.8,3.4,1.76
999495,4.0,4.2,1.8,3.0,4.0,1.94
175591,2.2,3.0,2.0,2.2,3.8,2.79
865386,2.4,2.6,3.2,2.4,3.6,1.56
267372,1.2,3.6,1.8,4.8,4.2,1.6
347693,3.2,3.4,2.2,3.0,3.4,1.34
469855,1.8,2.6,2.8,2.8,4.0,2.08
824598,1.4,3.0,2.2,2.4,4.2,1.87
430415,2.8,3.8,3.6,5.0,2.0,1.54
312893,2.4,3.2,2.8,3.0,4.0,2.92
194145,1.8,2.8,2.8,2.4,3.2,1.9
402660,3.2,2.6,2.2,1.6,4.0,4.73
13085,2.4,2.4,2.0,2.2,3.8,2.12
928192,1.6,3.6,1.8,3.6,3.6,2.36
957158,2.0,3.4,3.2,2.8,3.8,1.88
356119,1.8,3.2,2.8,1.6,4.2,2.93
744864,3.0,3.2,2.6,4.2,4.4,1.92
187519,2.0,3.8,2.2,4.8,4.4,1.71
384656,1.0,3.8,3.8,2.4,4.2,1.44
940404,4.0,3.4,3.4,3.8,3.4,1.9
799617,2.4,3.6,1.8,3.6,4.0,1.37
582395,5.0,3.6,2.0,3.6,4.6,0.95
36466,3.8,3.2,3.0,2.8,3.4,2.13
438442,2.4,2.8,3.0,2.8,3.6,1.26
904793,1.0,3.4,2.4,4.4,3.2,1.43
587319,3.0,3.4,1.8,4.0,4.2,1.06
858727,2.2,3.6,1.8,3.8,3.8,1.93
506540,1.6,2.8,1.8,2.2,2.4,3.49
868120,2.4,3.4,2.8,4.2,3.8,1.19
247329,3.2,3.2,2.0,2.8,3.0,4.93
998038,3.6,3.4,3.2,3.8,3.4,2.08
341627,2.4,3.0,3.2,3.4,4.4,1.81
346127,4.4,3.6,3.6,2.2,4.2,0.95
908086,4.4,2.6,2.0,3.0,3.6,1.65
750836,4.2,3.2,2.8,2.6,3.4,1.08
660742,3.2,3.8,2.6,3.2,3.2,1.32
791182,1.8,3.6,2.6,2.8,4.0,1.53
739250,2.2,2.8,2.4,4.2,4.8,1.79
80016,3.8,3.4,2.8,2.2,3.4,1.41
73542,1.8,3.0,1.8,3.2,3.0,3.12
383297,2.8,3.0,2.4,2.2,3.4,1.82
887806,3.0,4.0,2.0,2.4,3.6,1.52
234042,3.4,3.0,2.2,2.4,3.6,1.43
921855,1.8,3.8,1.8,4.6,4.2,1.24
65017,1.8,3.0,3.2,2.6,4.2,1.75
414302,2.0,3.2,1.8,4.6,4.0,1.34
20413,2.2,3.0,2.6,3.2,3.4,1.28
866006,4.0,4.0,2.8,2.2,4.0,2.78
499151,3.2,3.8,2.8,3.6,3.0,4.98
774102,2.8,3.4,2.2,2.4,3.6,1.16
919729,2.8,3.4,1.8,2.8,3.0,1.95
43175,1.8,3.2,2.6,2.2,3.4,1.21
768113,2.2,3.0,2.6,4.6,4.2,1.95
994601,2.8,3.4,2.0,4.8,4.4,1.39
206352,2.2,3.4,2.8,4.0,2.4,1.15
861177,1.6,3.2,3.4,3.4,4.2,2.06
288386,3.0,3.4,2.4,3.2,4.0,1.97
395457,2.4,2.8,2.6,3.4,3.6,2.67
931961,1.2,2.4,2.8,3.2,3.8,0.87
147105,2.4,1.6,3.0,2.0,3.2,2.43
