learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
12600.0,0.196476,8.986475567022959E-11,12600.0,4.0,0.0,0.8332133477118204,1.0,1604.0,1.0,3.2,12600.0,1768.0
12700.0,0.197175,9.018446629246075E-11,12700.0,4.0,0.0,0.8329015711243503,1.0,1604.0,1.0,2.4,12700.0,1768.0
12800.0,0.197892,9.051240980625152E-11,12800.0,4.0,0.0,0.8320775224450776,1.0,1604.0,1.0,2.2,12800.0,1768.0
12900.0,0.198889,9.096842052208051E-11,12900.0,4.0,0.0,0.8321897290596154,1.0,1604.0,1.0,3.0,12900.0,1768.0
13000.0,0.199649,9.131603149904144E-11,13000.0,4.0,0.0,0.8322763649952348,1.0,1604.0,1.0,2.6,13000.0,1768.0
13100.0,0.200355,9.163894380132356E-11,13100.0,5.0,0.0,0.8319622968644804,1.0,1604.0,1.0,2.6,13100.0,1768.0
13200.0,0.201104,9.198152356677584E-11,13200.0,5.0,0.0,0.831868037573997,1.0,1604.0,1.0,2.4,13200.0,1768.0
13300.0,0.201841,9.231861473785506E-11,13300.0,5.0,0.0,0.832327328606031,1.0,1604.0,1.0,2.4,13300.0,1768.0
13400.0,0.202525,9.263146461711989E-11,13400.0,5.0,0.0,0.8325904243273501,1.0,1604.0,1.0,2.0,13400.0,1768.0
13500.0,0.203197,9.293882590201165E-11,13500.0,5.0,0.0,0.8325134620942949,1.0,1604.0,1.0,2.4,13500.0,1768.0
13600.0,0.203878,9.325030363268322E-11,13600.0,6.0,0.0,0.8327628159888123,1.0,1604.0,1.0,2.0,13600.0,1768.0
13700.0,0.20457,9.356681257486342E-11,13700.0,6.0,0.0,0.8325622957852072,1.0,1604.0,1.0,3.2,13700.0,1768.0
13800.0,0.205243,9.387463124261961E-11,13800.0,6.0,0.0,0.832679238610252,1.0,1604.0,1.0,3.0,13800.0,1768.0
13900.0,0.205916,9.418244991037579E-11,13900.0,6.0,0.0,0.832786649196602,1.0,1604.0,1.0,2.4,13900.0,1768.0
14000.0,0.206664,9.452457229296365E-11,14000.0,6.0,0.0,0.8333770190279554,1.0,1604.0,1.0,2.4,14000.0,1768.0
14100.0,0.207361,9.484336814946596E-11,14100.0,6.0,0.0,0.8335646367418551,1.0,1604.0,1.0,2.2,14100.0,1768.0
14200.0,0.208034,9.515118681722215E-11,14200.0,6.0,0.0,0.8331703553047203,1.0,1604.0,1.0,3.0,14200.0,1768.0
14300.0,0.208705,9.545809071924949E-11,14300.0,6.0,0.0,0.8335139430064289,1.0,1604.0,1.0,3.8,14300.0,1768.0
14400.0,0.209395,9.577368489570086E-11,14400.0,6.0,0.0,0.8338059078621677,1.0,1604.0,1.0,2.4,14400.0,1768.0
14500.0,0.210186,9.613547474145887E-11,14500.0,6.0,0.0,0.8338743222732986,1.0,1604.0,1.0,3.2,14500.0,1768.0
14600.0,0.210883,9.645427059796118E-11,14600.0,6.0,0.0,0.8340066070573282,1.0,1604.0,1.0,3.6,14600.0,1768.0
14700.0,0.21158,9.67730664544635E-11,14700.0,6.0,0.0,0.8338111874383152,1.0,1604.0,1.0,1.8,14700.0,1768.0
14800.0,0.212278,9.709231969383024E-11,14800.0,6.0,0.0,0.8341568970411649,1.0,1604.0,1.0,2.4,14800.0,1768.0
14900.0,0.212959,9.740379742450181E-11,14900.0,6.0,0.0,0.8340528119292606,1.0,1604.0,1.0,3.4,14900.0,1768.0
15000.0,0.213618,9.770521273215609E-11,15000.0,6.0,0.0,0.8337960366824722,1.0,1604.0,1.0,2.4,15000.0,1768.0
15100.0,0.214304,9.801897737714977E-11,15100.0,6.0,0.0,0.8338801060305352,1.0,1604.0,1.0,2.6,15100.0,1768.0
15200.0,0.215119,9.839174441165392E-11,15200.0,6.0,0.0,0.8333700509988837,1.0,1604.0,1.0,1.8,15200.0,1768.0
15300.0,0.215869,9.873478155997062E-11,15300.0,6.0,0.0,0.8331781351941783,1.0,1604.0,1.0,3.8,15300.0,1768.0
15400.0,0.216581,9.906043815943928E-11,15400.0,6.0,0.0,0.8326530162690827,1.0,1604.0,1.0,3.0,15400.0,1768.0
15500.0,0.217306,9.939204073614542E-11,15500.0,6.0,0.0,0.8333051543027129,1.0,1604.0,1.0,2.2,15500.0,1768.0
15600.0,0.218004,9.971129397551217E-11,15600.0,6.0,0.0,0.8333113956340216,1.0,1604.0,1.0,1.6,15600.0,1768.0
15700.0,0.218692,1.0002597338623469E-10,15700.0,6.0,0.0,0.8336105266937097,1.0,1604.0,1.0,3.4,15700.0,1768.0
15800.0,0.219428,1.0036260717444949E-10,15800.0,6.0,0.0,0.832880594133316,1.0,1604.0,1.0,2.6,15800.0,1768.0
15900.0,0.220138,1.006873490081893E-10,15900.0,6.0,0.0,0.8326604110035272,1.0,1604.0,1.0,1.8,15900.0,1768.0
16000.0,0.220838,1.0100751701328489E-10,16000.0,6.0,0.0,0.8324420092036672,1.0,1604.0,1.0,2.0,16000.0,1768.0
16100.0,0.221605,1.0135832967029676E-10,16100.0,6.0,0.0,0.8324219218648322,1.0,1604.0,1.0,2.6,16100.0,1768.0
16200.0,0.22298,1.0198723110887738E-10,16200.0,6.0,0.0,0.8321243839855708,1.0,1604.0,1.0,2.4,16200.0,1768.0
16300.0,0.224295,1.0258868957559266E-10,16300.0,6.0,0.0,0.8316457581663051,1.0,1604.0,1.0,2.0,16300.0,1768.0
16400.0,0.225751,1.0325463902619149E-10,16400.0,6.0,0.0,0.8316060897514078,1.0,1604.0,1.0,2.6,16400.0,1768.0
16500.0,0.226928,1.037929786576165E-10,16500.0,6.0,0.0,0.8320848428801869,1.0,1604.0,1.0,1.8,16500.0,1768.0
16600.0,0.227636,1.0411680572562746E-10,16600.0,6.0,0.0,0.8321515135631202,1.0,1604.0,1.0,2.4,16600.0,1768.0
